n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
574727.8300928493,586170.693481692,586171.9366721965,586171.9378155641,586171.9378346872,586171.9378347007,3178414.775889089,327172.20184852753,0.7040059203330102,3.149111609304056e-16,22.37622819499837,0.0023033116706975003,58.0
574329.0597483941,586245.5907119804,586246.9221035892,586246.923400557,586246.9234227006,586246.9234227173,3178390.9410511414,327172.19939506374,0.7976362602583134,4.0139790717157976e-16,25.35199863858934,0.0026096440958596587,59.0
573877.452279547,586330.4103000032,586331.8436792445,586331.8451594871,586331.8451852736,586331.8451852943,3178363.94812711,327172.19661649683,0.9029547508529419,5.108920638485938e-16,28.699188269010875,0.002954216892818586,60.0
573366.4405697425,586426.3852472054,586427.93645497,586427.9381536673,586427.9381838422,586427.9381838677,3178333.404630643,327172.1934724167,1.0213097589842215,6.493152462663578e-16,32.46062923454822,0.0033414415406165304,61.0
572788.704408556,586534.8899121745,586536.5771349877,586536.579093804,586536.57912926,586536.5791292916,3178298.8730784548,327172.18991777865,1.1541881540297083,8.240627930480212e-16,36.68354909273124,0.003776182659310581,62.0
572136.093922109,586657.454376454,586659.2984770109,586659.3007452415,586659.3007870455,586659.3007870846,3178259.866419057,327172.18590243184,1.3032265370068896,1.0443556997066345e-15,41.419925994212875,0.0042637947483860055,63.0
571399.5466532866,586795.7800004657,586797.8048927375,586797.8075286499,586797.8075780766,586797.807578125,3178215.843083523,327172.181370609,1.4702227845724676,1.3216794973559937e-15,46.726853467905904,0.004810159955293452,64.0
570568.998958484,586951.7560442539,586953.9891184685,586953.9921908691,586953.9922494394,586953.9922494993,3178166.201698333,327172.1762603812,1.6571476932412785,1.6703182375336353e-15,52.66690789881789,0.0054217261718261965,65.0
569633.2912763238,587127.4774359977,587129.9500397786,587129.9536298406,587129.9536993674,587129.9536994419,3178110.2754342225,327172.1705030742,1.8661565401597158,2.10800298626925e-15,59.3085127585037,0.006105544857425616,66.0
568580.0670993327,587325.2637194261,587328.0117023914,587328.0159057865,587328.0159884285,587328.0159885208,3178047.3259815616,327172.16402264684,2.0996003156551923,2.6567036647072956e-15,66.72629168798028,0.006869307788555417,67.0
567395.6654046875,587547.6792248869,587550.7435557947,587550.7484851833,587550.7485835087,587550.7485836232,3177976.5371387536,327172.1567350283,2.360036090436512,3.343730173737549e-15,75.00139322207909,0.00772138097680618,68.0
566065.0091491452,587797.5539754124,587800.9814394149,587800.9872273431,587800.9873444043,587800.987344546,3177897.0081691425,327172.1485474318,2.6502363016599984,4.202717072232858e-15,84.22178013986561,0.008670835049725014,69.0
564571.4890950577,588078.0054638288,588081.8494502094,588081.8562524787,588081.8563918999,588081.8563920753,3177807.7468841863,327172.13935763866,2.9731962683972286,5.275396801708031e-15,94.48246134719868,0.009727469838616694,70.0
562896.8436610934,588392.4611694969,588396.7825620814,588396.79056167,588396.7907277506,588396.7907279676,3177707.6624956573,327172.12905325857,3.3321388491731767,6.612902763026583e-15,105.88563153517066,0.010901829615850631,71.0
561021.0373285731,588744.6813385012,588749.5495213735,588749.5589329965,588749.5591308322,588749.5591311003,3177595.5583891384,327172.1175109805,3.730516735281896,8.278917316015635e-15,118.54073408528103,0.01220521059692328,72.0
558922.1387062952,589138.7818193797,589144.2758124054,589144.2868878099,589144.2871234351,589144.2871237659,3177470.1248859507,327172.1045958209,4.172008673388758,1.0351028984675723e-14,132.56432920457848,0.013649648580646188,73.0
