n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
577504.8043318684,585649.0605131949,585649.7721069235,585649.7724900382,585649.7724950954,585649.7724950967,3178580.75575051,327172.2189333274,0.02025161240408167,3.278037960074828e-19,0.6437138546053232,6.625764967221098e-05,32.0
577493.1960166931,585651.2415995369,585651.954644503,585651.9550286569,585651.9550337292,585651.9550337304,3178580.0619724244,327172.2188619167,0.0234774838040764,4.362119871759276e-19,0.7462506192491776,7.681180469474388e-05,33.0
577479.7453490424,585653.7688175689,585654.4835841171,585654.4839695501,585654.4839746412,585654.4839746425,3178579.25808133,327172.21877917193,0.027190931911249158,5.79391912342922e-19,0.8642853218099832,8.896117524076778e-05,34.0
577464.1749309105,585656.6942781161,585657.4110846771,585657.4114716825,585657.4114767972,585657.4114767985,3178578.327497203,327172.21868338657,0.031461600181669706,7.681362853219931e-19,1.000031604858374,0.00010293361534766516,35.0
577446.1678317211,585660.0775174523,585660.7967387049,585660.7971276408,585660.7971327846,585660.7971327859,3178577.2512770803,327172.2185726108,0.03636859413831163,1.0165656135355323e-18,1.1560038598896631,0.00011898793630598265,36.0
577425.3623590774,585663.9864794097,585664.7085557393,585664.7089470419,585664.7089522217,585664.7089522231,3178576.00780247,327172.21844461944,0.04200136867814457,1.3428524680982546e-18,1.335045427752165,0.00013741680968138912,37.0
577401.3460672274,585668.4986404978,585669.2240889757,585669.2244831763,585669.2244884009,585669.2244884023,3178574.5724212322,327172.218296875,0.048461419790220145,1.7707153650731663e-18,1.5403823668862486,0.00015855230214582405,38.0
577373.6492459628,585673.7022326718,585674.4316597384,585674.4320574828,585674.4320627627,585674.4320627643,3178572.9170583677,327172.2181264877,0.05586346602890868,2.3307705951717835e-18,1.775661001724993,0.00018276974092911746,39.0
577341.7371235468,585679.6977075245,585680.4318237364,585680.4322258085,585680.432231157,585680.4322311586,3178571.0097499574,327172.21793016733,0.06433718677382155,3.0625828212606168e-18,2.0450031672813758,0.00021049340092178624,40.0
577305.0016376108,585686.5992815512,585687.338918584,585687.3393259348,585687.339331368,585687.3393313696,3178568.814151273,327172.21770417294,0.07402902182687324,4.017178730654838e-18,2.353063401210232,0.00024220239245568742,41.0
577262.7519669943,585694.5367140545,585695.282844355,585695.2832581361,585695.2832636737,585695.2832636753,3178566.2889708304,327172.2174442543,0.08510418959744834,5.2602536846897275e-18,2.7050930810463134,0.00027843726424393417,42.0
577214.2039417234,585703.6572956605,585704.4110551276,585704.4114767326,585704.4114823986,585704.4114824003,3178563.387337375,327172.2171455869,0.09774891208637837,6.876252228632753e-18,3.107011131098221,0.0003198072829086947,43.0
577158.4682992639,585714.128053404,585714.8907675188,585714.8911986307,585714.8912044546,585714.8912044566,3178560.0560979233,327172.2168026994,0.1121728873714707,8.97350223565592e-18,3.56548259176128,0.0003669985222648359,44.0
577094.5373662077,585726.1382513976,585726.9114653526,585726.9119080029,585726.9119140207,585726.9119140229,3178556.235021685,327172.2164093921,0.1286120657242809,1.1690856070000201e-17,4.0880068340693185,0.0004207829460000339,45.0
577021.2704074053,585739.9021416288,585740.6876549715,585740.6881116084,585740.6881178641,585740.6881178664,3178551.8559243414,327172.2159586465,0.14733163698133508,1.52058381843372e-17,4.6830124816339405,0.0004820281815199827,46.0
576937.3771211399,585755.6620627483,585756.4619692321,585756.4624428028,585756.4624493498,585756.4624493525,3178546.841681527,327172.21544252394,0.16862941955800897,1.9745190934634445e-17,5.359965089506986,0.0005517086078558067,47.0
576841.3994080091,585773.691862875,585774.508596207,585774.5090902555,585774.509097159,585774.5090971618,3178541.105139138,327172.21485205315,0.1928395184157938,2.5597972240686815e-17,6.129483359798365,0.0006309173235109855,48.0
576731.6909767344,585794.3007283822,585795.1371147338,585795.1376335166,585795.1376408556,585795.1376408588,3178534.547894382,327172.214177105,0.22033639990503676,3.313213648920508e-17,7.003468592568318,0.0007208794782074295,49.0
576606.3948535615,585817.837406118,585818.6967242843,585818.6972729076,585818.6972807781,585818.6972807815,3178527.058951553,327172.21340625384,0.2515393701881093,4.281544259342514e-17,7.995246945345371,0.0008229669250325878,50.0
576463.4177628113,585844.6950128938,585845.5810633886,585845.5816479715,585845.5816564896,585845.5816564936,3178518.513190836,327172.2125266202,0.28691740262444315,5.5241272001801555e-17,9.119722759984215,0.0009387140142903017,51.0
576300.4029180189,585875.3161430884,585876.2333270006,585876.233954867,585876.2339641738,585876.2339641784,3178508.7697421946,327172.2115237031,0.32699456522465975,7.116162333661902e-17,10.393550932246171,0.0010698353506078371,52.0
576114.6989788921,585910.1986958651,585911.1521051272,585911.1527850343,585911.1527952995,585911.152795305,3178497.670130159,327172.21038118907,0.372355819191513,9.152808440617007e-17,11.835321037596309,0.001218244764131857,53.0
575903.3259489688,585949.9022764026,585950.8977969575,585950.8985393639,585950.8985507931,585950.8985507995,3178485.0362358843,327172.20908074226,0.4236533361664441,1.17542234370259e-16,13.465757895564536,0.0013860759787800185,54.0
575662.9377134959,585995.0552274715,585996.099657017,585996.1004743996,585996.1004872406,585996.1004872482,3178470.668058561,327172.20760177384,0.48161345660179733,1.5071982061891243e-16,15.307942451511078,0.0015757053780713114,55.0
575389.7806160324,586046.3624042313,586047.463586555,586047.4644937825,586047.464508334,586047.4645083431,3178454.3412402617,327172.2059211874,0.5470441645125612,1.929708939702547e-16,17.387548995451024,0.001789776460398876,56.0
575079.647962841,586104.613712981,586105.7806910848,586105.7817058577,586105.7817224789,586105.7817224899,3178435.8043476613,327172.2040130985,0.6208430203535821,2.4669605755107876e-16,19.733096847711693,0.0020312257931523045,57.0
